Id,TotRmsAbvGrd,GrLivArea,TotalBsmtSF,1stFlrSF,GarageCars,GarageArea,FullBath,HalfBath,OverallQual,YearBuilt,SalePrice
47,6,2149,1434,1518,2,670,1,1,7,2003,239686
48,7,1656,1656,1656,3,826,2,0,8,2006,249700
49,8,1452,736,736,0,0,2,0,4,1920,113000
50,6,955,955,955,1,386,1,0,5,1966,127000
51,6,1470,794,794,2,388,2,0,6,1997,177000
52,6,1176,816,816,2,528,1,0,6,1934,114500
53,5,816,816,816,2,516,1,0,5,1963,110000
54,5,1842,1842,1842,3,894,0,1,9,1981,385000
55,6,1360,384,1360,2,572,1,0,5,1955,130000
56,7,1425,1425,1425,2,576,2,0,6,1964,180500
57,7,1739,970,983,2,480,2,1,8,1999,172500
58,7,1720,860,860,2,565,2,1,7,2004,196500
59,10,2945,1410,1426,3,641,3,1,10,2006,438780
60,4,780,780,780,1,352,1,0,5,1972,124900
61,5,1158,1158,1158,2,576,1,1,6,2004,158000
62,6,1111,530,581,1,288,1,0,5,1920,101000
63,6,1370,1370,1370,2,484,2,0,8,2006,202500
64,9,1710,576,902,2,480,2,0,7,1921,140000
65,8,2034,1057,1057,2,645,2,1,7,1997,219500
66,9,2473,1143,1143,3,852,2,1,8,2004,317000
67,7,2207,1947,2207,2,576,2,0,7,1970,180000
68,7,1479,1453,1479,2,558,2,0,7,2003,226000
69,4,747,747,747,1,220,1,0,4,1945,80000
70,7,2287,1304,1304,2,667,2,0,7,1953,225000
71,8,2223,2223,2223,2,516,2,0,7,1973,244000
72,4,845,845,845,2,360,1,0,4,1982,129500
73,7,1718,832,885,2,427,2,1,7,1998,185000
74,6,1086,1086,1086,2,490,1,0,5,1954,144900
75,8,1605,840,840,1,379,2,0,3,1915,107400
76,5,988,462,526,1,297,1,0,4,1973,91000
77,4,952,952,952,1,283,1,0,4,1956,135750
78,6,1285,672,1072,1,240,1,0,5,1948,127000
79,8,1768,1768,1768,0,0,2,0,4,1968,136500
80,5,1230,440,682,2,440,1,1,5,1910,110000
81,8,2142,896,1182,1,509,2,1,6,1968,193500
82,5,1337,1237,1337,2,405,2,0,6,1998,153500
83,6,1563,1563,1563,3,758,2,0,8,2007,245000
84,6,1065,1065,1065,2,461,1,1,5,1960,126500
85,7,1474,384,804,2,400,2,1,7,1995,168500
86,9,2417,1288,1301,2,462,2,1,8,1991,260000
87,6,1560,684,684,2,400,2,1,6,2005,174000
88,4,1224,612,612,2,528,2,1,6,2009,164500
89,6,1526,1013,1013,0,0,1,0,3,1915,85000
90,5,990,990,990,0,0,1,0,4,1994,123600
91,4,1040,0,1040,2,420,1,0,4,1950,109900
92,6,1235,1235,1235,2,480,1,0,5,1961,98600
93,5,964,876,964,2,432,1,0,5,1921,163500
94,9,2291,1214,1260,2,506,2,0,6,1910,133900
95,7,1786,824,905,2,684,2,1,6,1997,204750
96,6,1470,680,680,2,420,2,1,6,1993,185000
97,6,1588,1588,1588,2,472,2,0,7,1999,214000
98,6,960,960,960,1,432,1,0,4,1965,94750
99,5,835,458,835,1,366,1,0,5,1920,83000
100,6,1225,950,1225,0,0,1,1,4,1959,128950
101,6,1610,1610,1610,2,480,2,0,6,1977,205000
102,7,1732,741,977,2,476,2,1,6,1985,178000
103,8,1535,0,1535,2,410,2,0,5,1979,118964
104,6,1226,1226,1226,3,740,2,0,7,2009,198900
105,7,1818,1040,1226,1,240,1,1,7,1931,169500
106,9,1992,1053,1053,2,648,2,1,8,2003,250000
107,6,1047,641,1047,1,273,1,0,4,1885,100000
108,5,789,789,789,1,250,1,0,5,1948,115000
109,7,1517,793,997,0,0,2,0,5,1919,115000
110,7,1844,1844,1844,2,546,2,0,6,1977,190000
111,7,1855,994,1216,1,325,2,0,6,1954,136900
112,7,1430,384,774,2,400,2,1,7,2000,180000
113,10,2696,1264,1282,3,792,2,1,7,2007,383970
114,7,2259,1809,2259,2,450,2,0,6,1953,217000
115,9,2320,1028,1436,1,180,2,1,6,1945,259500
116,5,1458,729,729,2,440,2,1,6,1999,176000
117,6,1092,1092,1092,1,288,1,0,5,1962,139000
118,5,1125,1125,1125,2,430,1,1,5,2006,155000
119,11,3222,1673,1699,3,594,3,0,7,1990,320000
120,8,1456,728,728,2,390,2,1,6,2005,163990
121,4,988,938,988,2,540,1,0,6,1969,180000
122,4,1123,732,772,1,264,1,0,4,1939,100000
123,5,1080,1080,1080,1,288,1,0,6,1958,136000
124,5,1199,1199,1199,2,530,2,0,6,1993,153900
125,7,1586,1362,1586,2,435,2,0,6,1979,181000
126,5,754,520,520,0,0,1,0,6,1935,84500
127,5,958,1078,958,2,440,2,0,6,1976,128000
128,5,840,672,840,0,0,1,0,5,1930,87000
129,6,1348,660,660,2,453,1,1,6,1966,155000
130,6,1053,1008,1053,2,750,1,1,5,1958,150000
131,8,2157,924,1216,2,487,2,1,7,1966,226000
132,7,2054,992,1022,2,390,2,1,6,2000,244000
133,7,1327,1063,1327,2,624,1,0,5,1959,150750
134,6,1296,1267,1296,2,471,2,0,8,2001,220000
135,7,1721,1461,1721,2,440,2,1,5,1968,180000
136,7,1682,1304,1682,2,530,2,0,7,1970,174000
137,5,1214,1214,1214,1,318,2,0,5,1967,143000
138,9,1959,1907,1959,3,766,3,0,7,1988,171000
139,7,1852,1004,1004,3,660,2,1,8,1999,230000
140,7,1764,928,928,2,470,2,1,6,1997,231500
141,5,864,864,864,0,0,1,0,4,1971,115000
142,7,1734,1734,1734,2,660,2,0,7,2005,260000
143,6,1385,910,910,2,720,2,0,5,1952,166000
144,6,1501,1490,1501,2,577,2,0,7,1999,204000
145,10,1728,1728,1728,2,504,2,0,5,1963,125000
146,7,1709,970,970,2,380,2,0,6,2004,130000
147,5,875,715,875,1,180,1,0,5,1931,105000
148,8,2035,884,884,2,434,2,1,7,2001,222500
149,6,1080,1080,1080,0,0,1,0,7,2004,141000
150,7,1344,896,896,1,240,1,0,5,1936,115000
151,5,969,969,969,2,440,1,1,5,1975,122000
152,6,1710,1710,1710,3,866,2,0,8,2007,372402
153,8,1993,825,1097,2,495,2,1,6,1971,190000
154,4,1252,1602,1252,2,564,1,0,6,1960,235000
155,7,1200,1200,1200,1,312,1,0,6,1923,125000
156,5,1096,572,572,0,0,1,0,6,1924,79000
157,5,1040,0,1040,2,625,1,0,5,1950,109500
158,8,1968,774,774,3,680,2,1,8,2009,269500
159,8,1947,991,991,2,678,2,1,7,2004,254900
160,9,2462,1392,1392,2,576,2,1,7,2005,320000
161,6,1232,1232,1232,2,516,2,0,6,1984,162500
162,10,2668,1572,1572,3,726,2,1,9,2003,412500
163,7,1541,1541,1541,2,532,2,0,7,2005,220000
164,4,882,882,882,0,0,1,0,4,1956,103200
165,5,1616,1149,1149,1,216,2,0,6,1926,152000
166,6,1355,644,808,0,0,2,0,5,1940,127500
167,7,1867,1617,1867,1,303,1,0,5,1955,190000
168,8,2161,1582,1610,3,789,1,1,8,2007,325624
169,7,1720,840,840,2,440,2,1,7,2004,183500
170,6,1707,1686,1707,2,511,2,1,8,1981,228000
171,7,1382,720,854,2,660,1,1,5,1941,128500
172,7,1656,1080,1656,2,528,1,0,6,1960,215000
173,5,1767,1064,1064,2,504,2,0,7,1987,239000
174,6,1362,1362,1362,2,504,1,1,6,1961,163000
175,7,1651,1606,1651,2,616,2,0,6,1986,184000
176,7,2158,1202,2158,2,576,2,0,6,1950,243000
177,8,2060,1151,1164,2,521,2,1,6,1988,211000
178,8,1920,1052,1252,2,451,2,0,5,1958,172500
179,9,2234,2216,2234,3,1166,2,0,9,2008,501837
180,5,968,968,968,2,480,1,0,5,1923,100000
181,5,1525,756,769,2,440,2,1,6,2000,177000
182,9,1802,793,901,1,216,1,1,7,1920,200100
183,7,1340,0,1340,1,252,1,0,5,1957,120000
184,6,2082,1362,1362,2,484,2,1,7,2003,200000
185,5,1252,504,936,2,576,1,0,5,1908,127000
186,12,3608,1107,1518,3,840,2,1,10,1892,475000
187,6,1217,1188,1217,2,497,2,0,7,1990,173000
188,8,1656,660,808,1,180,2,1,5,1916,135000
189,6,1224,1086,1224,2,528,0,2,5,1979,153337
190,5,1593,1593,1593,2,682,1,1,8,2001,286000
191,10,2727,853,1549,2,440,2,1,8,1932,315000
192,7,1479,725,725,2,484,1,1,7,1972,184000
193,6,1431,1431,1431,2,666,2,0,7,1999,192000
194,7,1709,970,970,2,380,2,0,7,2004,130000
195,5,864,864,864,1,352,1,0,5,1972,127000
196,7,1456,855,855,2,440,2,1,6,1976,148500
197,8,1726,1726,1726,3,786,2,0,7,2007,311872
198,8,3112,1360,1360,2,795,2,0,8,1918,235000
199,8,2229,755,929,0,0,1,0,6,1912,104000
200,7,1713,1713,1713,3,856,2,0,8,2004,274900
201,5,1121,1121,1121,2,440,2,0,4,2003,140000
202,6,1279,1196,1279,2,473,2,0,6,1977,171500
203,6,1310,617,865,1,398,2,0,6,1924,112000
204,3,848,848,848,2,420,1,0,6,2004,149000
205,5,1284,720,720,1,240,1,1,5,1947,110000
206,5,1442,1424,1442,2,500,2,0,7,1990,180500
207,8,1696,1140,1696,1,349,1,1,5,1962,143900
208,6,1100,1100,1100,1,312,1,0,4,1960,141000
209,7,2062,1157,1180,2,454,2,1,7,1988,277000
210,6,1092,1092,1092,2,504,1,0,6,1964,145000
211,5,864,864,864,0,0,1,0,5,1925,98000
212,6,1212,1212,1212,2,460,2,0,6,2009,186000
213,7,1852,900,932,2,644,2,1,7,2009,252678
214,5,990,990,990,2,576,1,0,5,1995,156000
215,6,1392,689,689,1,299,1,1,6,1977,161750
216,6,1236,1070,1236,1,447,1,0,5,1957,134450
217,8,1436,1436,1436,2,484,2,0,7,2004,210000
218,8,1328,686,810,1,210,1,0,4,1925,107000
219,8,1954,798,1137,2,431,1,1,7,1939,311500
220,5,1248,1248,1248,2,438,2,0,7,2005,167240
221,5,1498,1498,1498,2,675,2,0,7,2006,204900
222,8,2267,1010,1010,2,390,2,1,6,2002,200000
223,6,1552,713,811,2,434,2,1,6,1975,179900
224,4,864,864,864,2,576,1,0,4,1971,97000
225,8,2392,2392,2392,3,968,2,0,10,2003,386250
226,6,1302,630,630,1,280,2,1,5,1971,112000
227,9,2520,1203,1214,3,721,2,1,7,1995,290000
228,5,987,483,483,1,280,1,1,6,1970,106000
229,5,912,912,912,1,336,1,0,5,1967,125000
230,7,1555,1373,1555,2,430,2,0,7,2005,192500
231,6,1194,1194,1194,1,312,1,0,6,1959,148000
232,9,2794,1462,1490,3,810,2,1,8,1995,403000
233,5,987,483,483,1,288,1,1,6,1972,94500
234,5,894,894,894,1,308,1,0,5,1976,128200
235,8,1960,860,860,2,440,2,1,6,2002,216500
236,5,987,483,483,1,264,1,1,6,1971,89500
237,6,1414,1414,1414,2,494,2,0,7,2004,185500
238,7,1744,996,1014,2,457,2,1,7,1993,194500
239,7,1694,1694,1694,3,818,2,0,8,2007,318000
240,7,1487,735,798,1,220,1,1,6,1945,113000
241,7,1566,1566,1566,2,750,2,0,8,2008,262500
242,4,866,686,866,0,0,1,0,5,1945,110500
243,6,1440,540,889,1,352,1,0,5,1900,79000
244,6,1217,626,626,1,288,1,1,6,1980,120000
245,8,2110,948,1222,2,463,2,1,7,1994,205000
246,6,1872,1845,1872,2,604,2,0,7,1988,241500
247,9,1928,1020,908,1,440,2,0,6,1910,137000
248,5,1375,1367,1375,2,451,1,0,6,1954,140000
249,8,1668,840,840,2,500,2,1,7,2003,180000
250,7,2144,1444,1444,2,389,2,0,6,1958,277000
251,6,1306,728,1306,0,0,1,0,3,1940,76500
252,5,1625,1573,1625,2,538,2,0,8,2006,235000
253,6,1640,798,798,2,520,2,1,6,2004,173000
254,7,1302,1302,1302,1,309,2,0,6,1964,158000
255,5,1314,1314,1314,1,294,1,0,5,1957,145000
256,8,2291,975,1005,2,429,2,1,7,1999,230000
257,7,1728,864,864,2,673,2,1,6,2003,207500
258,8,1604,1604,1604,2,660,2,1,7,2006,220000
259,7,1792,963,963,2,564,2,1,7,2001,231500
260,4,882,0,882,1,308,1,0,5,1956,97000
261,6,1382,1362,1382,2,884,1,0,6,1962,176000
262,10,2574,1482,1482,3,868,2,1,8,2007,276000
263,6,1212,506,1212,2,492,1,0,6,1977,151000
264,6,1316,926,926,2,484,1,0,5,1929,130000
265,4,764,680,764,2,504,1,0,5,1925,73000
266,7,1422,1422,1422,2,576,2,0,6,1981,175500
267,8,1511,802,802,2,413,2,1,6,1997,185000
268,8,2192,720,1052,1,240,2,1,5,1939,179500
269,4,778,740,778,1,924,1,0,5,1940,120500
270,6,1113,1143,1113,1,504,1,1,6,1976,148000
271,8,1939,1095,1095,3,1053,2,1,8,2006,266000
272,5,1363,1385,1363,2,439,1,0,7,1954,241500
273,9,2270,1152,1164,3,671,2,1,8,1999,290000
274,6,1632,1240,1632,1,338,2,0,6,1958,139000
275,5,816,816,816,1,264,1,0,5,1982,124500
276,5,1548,952,952,2,672,2,1,7,1925,205000
277,7,1560,1560,1560,2,573,2,0,7,2003,201000
278,4,864,864,864,2,400,1,0,4,1951,141000
279,8,2121,2121,2121,3,732,2,1,9,2006,415298
280,8,2022,1160,1156,2,505,2,1,7,1977,192000
281,7,1982,807,1175,2,575,2,1,7,1989,228500
282,5,1262,1262,1262,2,572,2,0,6,2006,185000
283,6,1314,1314,1314,2,626,2,0,7,2007,207500
284,6,1468,1468,1468,3,898,2,0,8,2008,244600
285,5,1575,1575,1575,2,529,2,0,6,1992,179200
286,5,1250,625,625,2,528,2,1,7,2006,164700
287,7,1734,912,1085,2,440,1,1,6,1962,159000
288,5,858,858,858,0,0,1,0,4,1971,88000
289,5,900,882,900,1,280,1,0,5,1967,122000
290,7,1396,698,698,1,384,1,0,6,1915,153575
291,8,1919,1079,1079,2,685,2,1,8,2006,233230
292,9,1716,780,936,0,0,2,0,5,1912,135900
293,8,1716,768,1148,1,281,1,1,5,1949,131000
294,9,2263,795,1468,2,539,2,1,7,1977,235000
295,7,1644,1416,1644,2,418,1,0,6,1953,167000
296,6,1003,1003,1003,2,588,1,0,6,1984,142500
297,6,1558,910,910,1,282,1,1,5,1950,152000
298,7,1950,975,975,2,576,2,1,7,1997,239000
299,7,1743,702,1041,2,539,1,2,6,1968,175000
300,6,1152,1092,1152,1,300,1,0,6,1950,158500
301,5,1336,1165,1336,1,375,1,0,5,1953,157000
302,9,2452,1028,1210,2,683,2,1,8,1998,267000
303,6,1541,1541,1541,3,843,2,0,7,2001,205000
304,5,894,894,894,2,552,1,0,5,1972,149900
305,10,3493,1470,1675,3,870,3,0,7,1880,295000
306,8,2000,2000,2000,3,888,2,0,8,2004,305900
307,8,2243,700,1122,3,746,2,1,7,1990,225000
308,6,1406,319,1035,0,0,1,0,6,1920,89500
309,4,861,861,861,2,539,1,0,4,1940,82500
310,8,1944,1896,1944,3,708,2,0,9,2003,360000
311,6,1501,697,697,2,420,2,1,6,1993,165600
312,5,972,972,972,1,240,1,0,6,1948,132000
313,5,1118,793,793,2,410,1,0,5,1939,119900
314,8,2036,2136,2036,2,513,2,0,7,1965,375000
315,6,1641,728,832,2,546,1,1,7,1925,178000
316,6,1432,716,716,2,432,2,1,7,2004,188500
317,10,2353,845,1153,2,484,2,1,7,1980,260000
318,8,1959,1088,1088,3,1025,2,1,8,2006,270000
319,9,2646,1347,1372,3,656,2,1,7,1993,260000
320,6,1472,1372,1472,2,588,2,0,7,1980,187500
321,9,2596,1249,1249,3,840,3,1,9,2006,342643
322,10,2468,1136,1136,3,872,2,1,8,2004,354000
323,8,2730,1502,1553,2,576,2,1,7,1986,301000
324,6,1163,1162,1163,1,220,1,0,3,1955,126175
325,11,2978,710,1898,2,564,2,1,7,1967,242000
326,5,803,720,803,2,360,1,0,5,1941,87000
327,6,1719,1719,1719,2,473,1,1,8,1993,324000
328,7,1383,1383,1383,1,292,1,1,6,1960,145250
329,10,2134,844,1445,2,441,2,0,6,1916,214500
330,6,1192,596,596,1,189,1,0,5,1920,78000
331,10,1728,1728,1728,1,352,2,0,5,1964,119000
332,6,1056,1056,1056,1,308,1,0,5,1958,139000
333,7,1629,3206,1629,3,880,2,0,8,2003,284000
334,6,1358,1358,1358,2,484,2,0,7,2004,207000
335,7,1638,943,943,2,472,2,1,6,1998,192000
336,7,1786,1499,1619,2,529,2,0,5,1965,228950
337,8,1922,1922,1922,3,676,2,0,9,2005,377426
338,7,1536,1536,1536,2,532,2,0,7,2002,214000
339,8,1621,1208,1621,2,440,2,0,7,1984,202500
340,6,1215,1215,1215,1,297,1,0,6,1958,155000
341,9,1908,967,993,2,431,2,1,8,2002,202900
342,4,841,721,841,1,294,1,0,4,1950,82000
343,6,1040,0,1040,2,400,2,0,3,1949,87500
344,6,1684,1684,1684,2,564,2,0,9,2005,266000
345,4,1112,536,536,1,336,1,1,5,1976,85000
346,6,1577,972,972,1,312,1,0,6,1939,140200
347,5,958,958,958,1,301,1,0,6,1960,151500
348,6,1478,1478,1478,2,498,2,0,6,1960,157500
349,6,1626,764,764,2,474,2,1,7,2003,154000
350,10,2728,1848,1848,3,706,2,1,9,2005,437154
351,6,1869,1869,1869,2,617,2,0,9,2007,318061
352,6,1453,1453,1453,2,445,1,1,7,1986,190000
353,5,1111,616,616,1,200,1,0,5,1941,95000
354,5,720,624,720,2,484,1,0,6,1928,105900
355,6,1595,940,1192,1,240,1,0,6,1940,140000
356,6,1200,1200,1200,2,521,2,0,6,1995,177500
357,6,1167,1158,1167,2,400,2,0,6,1992,173000
358,6,1142,1142,1142,2,528,1,1,5,1976,134000
359,6,1352,1062,1352,1,288,1,0,5,1958,130000
360,7,1924,1086,1086,2,592,2,1,8,1998,280000
361,5,912,888,912,2,470,1,0,6,1978,156000
362,8,1505,883,988,1,240,1,0,5,1940,145000
363,7,1922,0,495,2,672,3,0,7,2003,198500
364,5,987,483,483,1,264,1,1,6,1972,118000
365,6,1574,796,790,2,566,2,1,6,1976,190000
366,6,1344,672,672,1,468,1,0,5,1920,147000
367,6,1394,1394,1394,2,514,1,1,6,1963,159000
368,6,1431,1099,1431,1,296,1,0,6,1962,165000
369,7,1268,1268,1268,1,244,1,0,5,1954,132000
370,7,1287,1063,1287,2,576,1,0,5,1959,162000
371,7,1664,953,953,2,460,2,1,6,2000,172400
372,7,1588,0,1120,2,680,2,0,4,1959,134432
373,4,752,744,752,1,264,1,0,6,1984,125000
374,5,1319,608,1319,1,270,1,0,5,1953,123000
375,8,1928,847,847,2,434,2,1,7,2003,219500
376,4,904,683,904,0,0,0,1,1,1922,61000
377,5,914,870,914,2,576,1,0,5,1996,148000
378,8,2466,1580,1580,2,610,3,0,8,2004,340000
379,8,1856,1856,1856,3,834,1,1,9,2010,394432
380,7,1800,982,1007,2,463,2,1,6,2000,179000
381,6,1691,1026,1026,1,308,2,0,5,1924,127000
382,5,1301,1293,1301,2,572,2,0,7,2006,187750
383,8,1797,939,939,2,639,2,1,7,2006,213500
384,5,784,784,784,2,360,1,0,6,1928,76000
385,9,1953,1580,1079,2,501,2,1,6,1992,240000
386,6,1269,1256,1269,2,430,2,0,8,2004,192000
387,8,1184,658,658,0,0,1,0,5,1910,81000
388,6,1125,1041,1125,1,352,1,0,6,1976,125000
389,6,1479,1468,1479,2,577,2,0,7,1999,191000
390,9,2332,1682,1742,3,846,2,1,10,2007,426000
391,7,1367,861,961,1,384,1,0,5,1900,119000
392,7,1961,804,804,2,560,2,1,6,2001,215000
393,5,882,0,882,1,294,1,0,5,1959,106500
394,4,788,788,788,0,0,1,0,4,1941,100000
395,5,1034,735,735,1,240,1,0,5,1940,109000
396,6,1144,1144,1144,1,596,1,0,5,1956,129000
397,6,894,894,894,2,600,1,0,5,1972,123000
398,8,1812,864,876,1,264,2,0,5,1962,169500
399,6,1077,961,1077,1,338,1,0,5,1920,67000
400,7,1550,1092,1112,2,438,2,0,7,2006,241000
401,4,1288,1260,1288,2,500,1,1,8,1996,245500
402,6,1310,1310,1310,2,400,2,0,7,2005,164990
403,4,672,672,672,1,240,1,0,5,1940,108000
404,10,2263,1141,1165,2,420,2,1,8,1998,258000
405,7,1572,806,806,2,373,2,1,6,1995,168000
406,8,1620,1281,1620,2,490,2,0,4,1976,150000
407,6,1639,1064,1166,1,240,1,0,6,1936,115000
408,8,1680,840,840,1,308,2,0,6,1915,177000
409,9,2172,1063,1071,3,947,2,1,7,2006,280000
410,8,2078,1034,1050,3,836,2,1,8,2007,339750
411,5,1276,1276,1276,1,350,1,0,5,1958,60000
412,5,1056,1056,1056,2,572,1,0,5,1955,145000
413,7,1478,1470,1478,2,484,2,1,7,2009,222000
414,5,1028,1008,1028,2,360,1,0,5,1927,115000
415,9,2097,1080,1080,3,678,2,1,7,1993,228000
416,6,1340,1340,1340,2,396,2,0,7,2007,181134
417,6,1400,672,672,2,440,1,1,6,1978,149500
418,10,2624,1370,1370,3,864,2,1,6,1918,239000
419,7,1134,756,756,1,240,1,1,5,1940,126000
420,6,1056,1056,1056,1,304,1,0,5,1968,142000
421,8,1344,1344,1344,4,784,2,0,7,1997,206300
422,8,1602,1602,1602,2,529,2,0,6,1977,215000
423,4,988,988,988,2,520,1,0,5,1954,113000
424,8,2630,1470,1470,3,696,2,1,8,1998,315000
425,6,1196,1196,1196,1,297,1,0,6,1956,139000
426,6,1389,651,707,1,240,1,1,7,1946,135000
427,5,1644,1518,1644,2,569,2,0,7,1989,275000
428,5,907,907,907,1,352,1,0,4,1957,109008
429,6,1208,1208,1208,2,628,2,0,7,2007,195400
430,6,1412,1392,1412,2,576,2,0,6,1988,175000
431,4,987,483,483,1,264,1,1,6,1971,85400
432,7,1198,901,1088,0,0,1,0,6,1920,79900
433,6,1365,765,765,2,440,1,1,5,1971,122500
434,7,1604,926,926,2,470,2,1,6,1997,181000
435,3,630,630,630,0,0,1,0,4,1972,81000
436,6,1661,799,827,2,550,2,1,7,1996,212000
437,6,1118,648,734,2,440,1,0,6,1920,116000
438,4,904,884,904,1,180,1,0,6,1926,119000
439,4,694,440,694,1,352,1,0,5,1913,90350
440,7,1196,684,684,2,528,1,0,6,1920,110000
441,10,2402,3094,2402,3,672,2,0,10,2008,555000
442,8,1440,1440,1440,0,0,2,0,4,1955,118000
443,8,1573,1078,1128,2,360,2,0,5,1930,162900
444,6,1258,1258,1258,3,648,2,0,7,2006,172500
445,8,1908,915,933,2,493,2,1,7,1994,210000
446,7,1689,1436,1689,2,480,1,0,6,1956,127500
447,6,1888,1517,1888,2,578,2,1,6,1966,190000
448,10,1886,930,956,2,431,2,1,7,1998,199900
449,7,1376,780,780,1,198,2,0,6,1937,119500
450,6,1183,649,679,1,308,1,1,3,1948,120000
451,5,813,813,813,1,270,1,0,6,1930,110000
452,5,1533,1533,1533,2,576,2,0,7,1975,280000
453,7,1756,872,888,2,422,2,1,6,1996,204000
454,6,1590,768,786,2,676,2,1,8,2008,210000
455,8,1728,1728,1728,2,560,2,0,5,1976,188000
456,6,1242,1242,1242,2,528,1,1,7,1973,175500
457,7,1344,624,624,3,513,1,0,5,1916,98000
458,6,1663,1364,1663,2,529,1,0,4,1954,256000
459,7,1666,588,833,1,228,1,0,8,1925,161000
460,5,1203,709,979,1,352,1,0,5,1950,110000
461,8,1935,832,832,2,552,2,1,8,2009,263435
462,6,1135,560,575,2,576,1,0,7,1936,155000
463,5,864,864,864,1,360,1,0,5,1965,62383
464,6,1660,715,849,1,240,1,1,6,1934,188700
465,5,1040,1040,1040,0,0,2,0,5,1978,124000
466,6,1414,1375,1414,2,398,2,0,7,2004,178740
467,5,1277,1277,1277,2,526,1,0,7,1970,167000
468,7,1644,728,888,1,312,1,1,5,1942,146500
469,7,1634,1626,1634,3,866,2,0,8,2006,250000
470,7,1710,832,832,2,506,2,1,6,1993,187000
471,4,1502,1488,1502,2,528,1,1,8,1985,212000
472,8,1969,808,1161,2,534,2,1,7,1977,190000
473,5,1072,547,1072,2,525,1,0,6,2005,148000
474,7,1976,1976,1976,3,908,2,0,8,2006,440000
475,6,1652,1494,1652,2,499,2,0,8,2000,251000
476,5,970,970,970,2,624,1,0,5,1963,132500
477,7,1493,1478,1493,2,508,2,0,6,1997,208900
478,9,2643,2153,2069,3,694,2,1,9,2006,380000
479,7,1718,1705,1718,3,826,2,0,8,2007,297000
480,7,1131,907,1131,2,672,1,0,4,1937,89471
481,8,1850,1833,1850,3,772,2,0,9,2004,326000
482,6,1792,1792,1792,3,874,2,0,9,2003,374000
483,7,1826,910,916,1,164,1,1,7,1915,155000
484,5,1216,1216,1216,2,402,2,0,6,1998,164000
485,6,999,999,999,1,264,1,0,5,1962,132500
486,5,1113,1113,1113,1,264,1,0,5,1950,147000
487,6,1073,1073,1073,2,515,1,1,5,1965,156000
488,7,1484,1484,1484,2,487,2,0,5,1971,175000
489,10,2414,954,1766,2,520,2,0,5,1900,160000
490,3,630,630,630,1,286,1,0,4,1970,86000
491,4,1304,264,616,1,336,1,1,5,1976,115000
492,5,1578,806,958,1,240,1,0,6,1941,133000
493,8,1456,728,728,2,429,2,1,6,2006,172785
494,6,1269,1269,1269,1,308,1,1,5,1960,155000
